title,author,affiliation,author idx
Regression and Kriging metamodels with their experimental designs in simulation: A review,Jack P.C. Kleijnen,"Tilburg University, Postbox 90153, Tilburg, Netherlands",1
A relaxed projection method for solving multiobjective optimization problems,A.S. Brito,"DM-Universidade Estadual do Piauí, Teresina, Brazil",1
A relaxed projection method for solving multiobjective optimization problems,J.X. Cruz Neto,"DM, Universidade Federal do Piauí, Teresina, PI 64049-500, Brazil",2
A relaxed projection method for solving multiobjective optimization problems,P.S.M. Santos,"CMRV, Universidade Federal do Piauí, Parnaíba, PI 64202-020, Brazil",3
A relaxed projection method for solving multiobjective optimization problems,S.S. Souza,"CMRV, Universidade Federal do Piauí, Parnaíba, PI 64202-020, Brazil",4
Computing equilibrium prices for a capital asset pricing model with heterogeneous beliefs and margin-requirement constraints,Jun Tong,"School of Management, Fudan University, Shanghai 200433, China",1
Computing equilibrium prices for a capital asset pricing model with heterogeneous beliefs and margin-requirement constraints,Jiaqiao Hu,"Department of Applied Mathematics and Statistics, Stony Brook University, NY 11794, New York, United States",2
Computing equilibrium prices for a capital asset pricing model with heterogeneous beliefs and margin-requirement constraints,Jianqiang Hu,"School of Management, Fudan University, Shanghai 200433, China",3
Matrix completion under interval uncertainty,Jakub Mareček,"IBM Research – Ireland, B3 F14 IBM Campus Damastown, Dublin 15, Ireland",1
Matrix completion under interval uncertainty,Peter Richtárik,"University of Edinburgh School of Mathematics, James Clerk Maxwell Building, Peter Guthrie Tait Road, Edinburgh EH9 3FD, Scotland, UK",2
Matrix completion under interval uncertainty,Martin Takáč,"Lehigh University, Harold S. Mohler Laboratory, 200 West Packer Avenue, Bethlehem, PA 18015-1582, USA",3
Optimal allocation of buffer times to increase train schedule robustness,Predrag Jovanović,"Faculty of Transport and Traffic Engineering, University of Belgrade, Serbia",1
Optimal allocation of buffer times to increase train schedule robustness,Pavle Kecman,"Department of Science and Technology, Linköping University, Sweden",2
Optimal allocation of buffer times to increase train schedule robustness,Nebojša Bojović,"Faculty of Transport and Traffic Engineering, University of Belgrade, Serbia",3
Optimal allocation of buffer times to increase train schedule robustness,Dragomir Mandić,"Faculty of Transport and Traffic Engineering, University of Belgrade, Serbia",4
FPTAS for the two identical parallel machine problem with a single operator under the free changing mode,Pierre Baptiste,"Département de Mathématiques et Génie Industriel, École Polytechnique de Montréal, C.P. 6079, succ. Centre-ville, Montréal, Québec H3C 3A7, Canada",1
FPTAS for the two identical parallel machine problem with a single operator under the free changing mode,Djamal Rebaine,"Département d’Informatique et de Mathématique, Université du Québec à Chicoutimi, 555, boul. de l’Université, Saguenay, Québec G7H 2B1, Canada",2
FPTAS for the two identical parallel machine problem with a single operator under the free changing mode,Mohammed Zouba,"Département de Mathématiques et Génie Industriel, École Polytechnique de Montréal, C.P. 6079, succ. Centre-ville, Montréal, Québec H3C 3A7, Canada",3
A new compact formulation for the discrete p-dispersion problem,David Sayah,"Chair of Logistics Management, Johannes Gutenberg University Mainz, Jakob-Welder-Weg 9, Mainz D-55128, Germany",1
A new compact formulation for the discrete p-dispersion problem,Stefan Irnich,"Chair of Logistics Management, Johannes Gutenberg University Mainz, Jakob-Welder-Weg 9, Mainz D-55128, Germany",2
Group-buying and channel coordination under asymmetric information,Thanh Tran,"University of Central Oklahoma, 100 N. University Drive, Edmond, OK 73034, USA",1
Group-buying and channel coordination under asymmetric information,Ramarao Desiraju,"University of Central Florida, 4000 Central Florida Blvd., Orlando, FL 32816, USA",2
Optimisation of maintenance routing and scheduling for offshore wind farms,Chandra Ade Irawan,"Centre for Operational Research and Logistics, Department of Mathematics, University of Portsmouth, Lion Gate Building, Lion Terrace, Portsmouth PO1 3HF, UK",1
Optimisation of maintenance routing and scheduling for offshore wind farms,Djamila Ouelhadj,"Centre for Operational Research and Logistics, Department of Mathematics, University of Portsmouth, Lion Gate Building, Lion Terrace, Portsmouth PO1 3HF, UK",2
Optimisation of maintenance routing and scheduling for offshore wind farms,Dylan Jones,"Centre for Operational Research and Logistics, Department of Mathematics, University of Portsmouth, Lion Gate Building, Lion Terrace, Portsmouth PO1 3HF, UK",3
Optimisation of maintenance routing and scheduling for offshore wind farms,Magnus Stålhane,"Department of Industrial Economics and Technology Management, Norwegian University of Science and Technology, Alfred Getz veg 3, 7491 Trondheim, Norway",4
Optimisation of maintenance routing and scheduling for offshore wind farms,Iver Bakken Sperstad,"SINTEF Energy Research, P.O. Box 4761 Sluppen, NO-7465 Trondheim, Norway",5
A feasibility-based heuristic for the container pre-marshalling problem,Ning Wang,"Department of Information Management, School of Management, Shanghai University, Shanghai, China",1
A feasibility-based heuristic for the container pre-marshalling problem,Bo Jin,"Department of Management Sciences, City University of Hong Kong, Hong Kong",2
A feasibility-based heuristic for the container pre-marshalling problem,Zizhen Zhang,"School of Data and Computer Science, Sun Yat-Sen University, China",3
A feasibility-based heuristic for the container pre-marshalling problem,Andrew Lim,"Department of Industrial & Systems Engineering, National University of Singapore, Singapore",4
A multi-item approach to repairable stocking and expediting in a fluctuating demand environment,Joachim Arts,"School of Industrial Engineering, Eindhoven University of Technology, PO box 513, 5600MB, Eindhoven, the Netherlands",1
The risk-averse newsvendor problem under spectral risk measures: A classification with extensions,Emel Arıkan,"Department of Information Systems and Operations, WU Vienna University of Economics and Business, Austria",1
The risk-averse newsvendor problem under spectral risk measures: A classification with extensions,Johannes Fichtinger,"Department of Information Systems and Operations, WU Vienna University of Economics and Business, Austria",2
Heuristics for multi-item two-echelon spare parts inventory control subject to aggregate and individual service measures,Engin Topan,"Industrial Engineering and Innovation Sciences, Eindhoven University of Technology, 5600 MB Eindhoven, The Netherlands",1
Heuristics for multi-item two-echelon spare parts inventory control subject to aggregate and individual service measures,Z. Pelin Bayındır,"Industrial Engineering, Middle East Technical University, 06800 Çankaya, Ankara, Turkey",2
Heuristics for multi-item two-echelon spare parts inventory control subject to aggregate and individual service measures,Tarkan Tan,"Industrial Engineering and Innovation Sciences, Eindhoven University of Technology, 5600 MB Eindhoven, The Netherlands",3
The impact of customer returns in a supply chain with a common retailer,Hui Yang,"School of Economics and Management, Nanjing University of Science and Technology, Nanjing 210094, PR China",1
The impact of customer returns in a supply chain with a common retailer,Jing Chen,"Rowe School of Business, Dalhousie University, Halifax NS B3H 4R2, Canada",2
The impact of customer returns in a supply chain with a common retailer,Xu Chen,"School of Management and Economics, University of Electronic Science and Technology, Chengdu 611731, PR China",3
The impact of customer returns in a supply chain with a common retailer,Bintong Chen,"Lerner College of Business and Economics, University of Delaware, Newark DE 19716, USA",4
Mitigating variance amplification under stochastic lead-time: The proportional control approach,Xun Wang,"Logistics Systems Dynamics Group, Cardiff Business School, Cardiff University, Aberconway Building, Colum Drive, Cardiff, CF10 3EU, UK",1
Mitigating variance amplification under stochastic lead-time: The proportional control approach,Stephen M. Disney,"Logistics Systems Dynamics Group, Cardiff Business School, Cardiff University, Aberconway Building, Colum Drive, Cardiff, CF10 3EU, UK",2
Relevant states and memory in Markov chain bootstrapping and simulation,Roy Cerqueti,"Dipartimento di Economia e Diritto, Università degli Studi di Macerata, Via Crescimbeni, 20 - 62100 Macerata MC, Italy",1
Relevant states and memory in Markov chain bootstrapping and simulation,Paolo Falbo,"Dipartimento di Economia e Management, Università degli Studi di Brescia, Contrada S. Chiara, 50 - 25122 Brescia BS, Italy",2
Relevant states and memory in Markov chain bootstrapping and simulation,Cristian Pelizzari,"Dipartimento di Economia e Diritto, Università degli Studi di Macerata, Via Crescimbeni, 20 - 62100 Macerata MC, Italy",3
A Geo/G/1 retrial queueing system with priority services,I. Atencia,"University of Málaga, Higher Polytechnic School, Department of Applied Mathematics, 29071 Málaga, Spain",1
"Multi-server tandem queue with Markovian arrival process, phase-type service times, and finite buffers",Hendrik Baumann,"Department of Applied Stochastics and Operations Research, Clausthal University of Technology, Erzstr. 1, Clausthal-Zellerfeld 38678, Germany",1
"Multi-server tandem queue with Markovian arrival process, phase-type service times, and finite buffers",Werner Sandmann,"Department of Computer Science, Saarland University, Campus E1 3, Saarbrücken 66123, Germany",2
Comparison of least squares Monte Carlo methods with applications to energy real options,Selvaprabu Nadarajah,"College of Business Administration, University of Illinois at Chicago, 601 South Morgan Street, Chicago, IL 60607, USA",1
Comparison of least squares Monte Carlo methods with applications to energy real options,François Margot,"Tepper School of Business, Carnegie Mellon University, 5000 Forbes Avenue, Pittsburgh, PA 15213-3890, USA",2
