,institute,degree centrality,structural hole (effective),structural hole (local)
0,Tilburg University,0.010356731875719217,14.625,0.0713900245076629
1,DM-Universidade Estadual do Piauí,0.0005753739930955121,1.0,1.0
2,Universidade Federal do Piauí,0.0005753739930955121,1.0,1.0
3,Fudan University,0.005178365937859608,8.555555555555555,0.07532033978938357
4,Stony Brook University,0.0017261219792865361,2.3333333333333335,0.05795610425240054
5,"IBM Research – Ireland, B3 F14 IBM Campus Damastown, Dublin 15, Ireland",0.0011507479861910242,1.0,0.25
6,University of Edinburgh School of Mathematics,0.0011507479861910242,1.0,0.25
7,Lehigh University,0.0011507479861910242,1.0,0.25
8,University of Belgrade,0.0005753739930955121,1.0,0.0625
9,Linköping University,0.0023014959723820483,2.5,0.24999999999999994
10,"Département de Mathématiques et Génie Industriel, École Polytechnique de Montréal, C.P. 6079, succ. Centre-ville, Montréal, Québec H3C 3A7, Canada",0.0005753739930955121,1.0,1.0
11,Université du Québec à Chicoutimi,0.0005753739930955121,1.0,1.0
12,Johannes Gutenberg University Mainz,0.0011507479861910242,2.0,0.17361111111111108
13,University of Central Oklahoma,0.0005753739930955121,1.0,0.1111111111111111
14,University of Central Florida,0.0017261219792865361,2.3333333333333335,0.1667361111111111
15,University of Portsmouth,0.010356731875719217,14.75,0.13164910764110335
16,Norwegian University of Science and Technology,0.009205983889528193,13.8,0.09303833338665954
17,"SINTEF Energy Research, P.O. Box 4761 Sluppen, NO-7465 Trondheim, Norway",0.0011507479861910242,1.0,0.004171006944444443
18,Shanghai University,0.005178365937859608,7.444444444444445,0.05034940208100381
19,City University of Hong Kong,0.006329113924050633,9.181818181818182,0.018391305859746448
20,Sun Yat-Sen University,0.0028768699654775605,3.4,0.028821554027181742
21,National University of Singapore,0.01726121979286536,26.285714285714285,0.05612405404512959
22,Eindhoven University of Technology,0.00863060989643268,12.714285714285714,0.20521310886410485
23,Middle East Technical University,0.0011507479861910242,2.0,0.040958049886621314
24,Nanjing University of Science and Technology,0.0023014959723820483,2.5,0.20062934027777773
25,Dalhousie University,0.004602991944764097,6.5,0.12610569473140495
26,University of Electronic Science and Technology,0.0017261219792865361,1.0,0.055748456790123455
27,University of Delaware,0.0017261219792865361,1.0,0.055748456790123455
28,Cardiff University,0.006329113924050633,7.666666666666667,0.06247428248149842
29,Università degli Studi di Macerata,0.0011507479861910242,1.0,1.0
30,Università degli Studi di Brescia,0.0011507479861910242,1.0,1.0
31,Clausthal University of Technology,0.0023014959723820483,2.5,0.1900065746219592
32,Saarland University,0.0005753739930955121,1.0,0.0625
33,University of Illinois at Chicago,0.0011507479861910242,2.0,0.040958049886621314
34,Carnegie Mellon University,0.010356731875719217,12.714285714285714,0.08983961603002187
35,Curtin University,0.0017261219792865361,1.0,0.034293552812071325
36,Jiangxi University of Finance and Economics,0.005178365937859608,7.0,0.03319208433258992
37,Beijing Jiaotong University,0.005753739930955121,8.11111111111111,0.2019448254839201
38,"Academy of Mathematics and Systems Science CAS, Beijing 100190, China",0.0017261219792865361,1.0,0.034293552812071325
39,"H. Milton Stewart School of Industrial and Systems Engineering, Georgia Institute of Technology, Atlanta, GA 30332-0205, USA",0.0005753739930955121,1.0,0.015625
40,McMaster University,0.004602991944764097,7.25,0.19717828798185943
41,Université Libre de Bruxelles,0.0034522439585730723,4.0,0.046429988662131515
42,University of Aveiro,0.0023014959723820483,3.5,0.033611111111111105
43,Pontifical Catholic University of Rio de Janeiro(PUC-Rio),0.0005753739930955121,1.0,1.0
44,University of Fortaleza (UNIFOR),0.0005753739930955121,1.0,1.0
45,Tsinghua University,0.00805523590333717,12.857142857142858,0.15379927762295817
46,Xiamen University of Technology,0.0017261219792865361,2.3333333333333335,0.06612244897959182
47,The University of Newcastle,0.0011507479861910242,1.0,0.040958049886621314
48,University of British Columbia,0.0023014959723820483,3.5,0.1810338849852071
49,University of New South Wales,0.004602991944764097,7.75,0.2470326672335601
50,Stockholm University,0.0011507479861910242,1.0,0.02419753086419753
51,Lund University,0.0028768699654775605,4.2,0.04298169080268273
52,University of Augsburg,0.005178365937859608,7.888888888888889,0.11274849265838019
53,"ESSEC Business School, IDS Department, 3 Av. Bernard Hirsch, B.P. 50105, 95021 Cergy Pontoise Cedex, France",0.0005753739930955121,1.0,1.0
54,"Chair XI for Algorithm Engineering, Department of Computer Science, TU Dortmund, Germany, Otto-Hahn-Str. 14, 44227 Dortmund",0.0005753739930955121,1.0,1.0
